type,amount,category,description,date
expense,50.00,Comida,Supermercado mensual,2024-12-01
expense,30.00,Transporte,Gasolina,2024-12-02
income,2000.00,Salario,Pago mensual diciembre,2024-12-01
expense,100.00,Servicios,Electricidad,2024-12-03
expense,45.00,Comida,Restaurante,2024-12-04
expense,25.00,Entretenimiento,Netflix,2024-12-05
expense,80.00,Salud,Farmacia,2024-12-06
income,150.00,Freelance,Proyecto web,2024-12-07
expense,60.00,Comida,Supermercado semanal,2024-12-08
expense,20.00,Transporte,Uber,2024-12-09
expense,200.00,Hogar,Muebles,2024-12-10
expense,35.00,Comida,Delivery,2024-12-11
expense,90.00,Ropa,Zapatos,2024-12-12
income,300.00,Bonos,Bono de desempeño,2024-12-13
expense,15.00,Transporte,Metro,2024-12-14
expense,120.00,Tecnología,Auriculares,2024-12-15
